headphone_model,frequency,retspl
Telephonics_TDH_39,125,47.5
Telephonics_TDH_39,250,28.5
Telephonics_TDH_39,500,14.5
Telephonics_TDH_39,1000,7.0
Telephonics_TDH_39,2000,11.0
Telephonics_TDH_39,4000,9.5
Telephonics_TDH_39,8000,13.0
Beyer_DT_48,125,45.0
Beyer_DT_48,250,25.5
Beyer_DT_48,500,11.5
Beyer_DT_48,1000,6.5
Beyer_DT_48,2000,10.5
Beyer_DT_48,4000,11.5
Beyer_DT_48,8000,14.0
Sennheiser_HDA_280,125,47.5
Sennheiser_HDA_280,250,26.5
Sennheiser_HDA_280,500,13.0
Sennheiser_HDA_280,1000,7.5
Sennheiser_HDA_280,2000,12.0
Sennheiser_HDA_280,4000,10.5
Sennheiser_HDA_280,8000,14.5
RadioEar_DD_45,125,38.5
RadioEar_DD_45,250,24.5
RadioEar_DD_45,500,13.0
RadioEar_DD_45,1000,7.0
RadioEar_DD_45,2000,13.0
RadioEar_DD_45,4000,16.0
RadioEar_DD_45,8000,20.5
Sennheiser_HDA200,125,30.5
Sennheiser_HDA200,250,18.0
Sennheiser_HDA200,500,11.0
Sennheiser_HDA200,1000,5.5
Sennheiser_HDA200,2000,4.5
Sennheiser_HDA200,4000,9.5
Sennheiser_HDA200,8000,17.5
